,code,unit_code,school,Level,Semester,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,mean_score,Invited,Responses,Response Rate
 ACF1100_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , ACF1100_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,ACF1100,ACF,1,S1,4.45,4.45,4.45,4.36,4.27,4.18,4.45,4.27,4.36,19,11,57.89473684
 ACF1100_CAULFIELD_ON-CAMPUS_ON_S1-01 , ACF1100_CAULFIELD_ON-CAMPUS_ON_S1-01 ,ACF1100,ACF,1,S1,3.95,3.89,3.9,3.58,3.74,3.82,4.14,3.76,3.8475,489,193,39.46830266
 ACF1100_CITY_ON-CAMPUS_ON_TRI-A-29 , ACF1100_CITY_ON-CAMPUS_ON_TRI-A-29 ,ACF1100,ACF,1,S1,3.57,4,3.83,3,3.29,3.43,3.86,3.29,3.53375,21,7,33.33333333
 ACF1200_CAULFIELD_ON-CAMPUS_ON_S1-01 , ACF1200_CAULFIELD_ON-CAMPUS_ON_S1-01 ,ACF1200,ACF,1,S1,3.96,3.7,3.68,3.64,3.68,3.84,4.2,3.75,3.80625,550,280,50.90909091
 ACF1200_CITY_ON-CAMPUS_ON_TRI-A-29 , ACF1200_CITY_ON-CAMPUS_ON_TRI-A-29 ,ACF1200,ACF,1,S1,3.95,4,4.15,3.8,3.8,4,4.1,3.7,3.9375,40,20,50
 ACF2100_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , ACF2100_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,ACF2100,ACF,2,S1,4.2,4.1,4.1,4,4.1,4,4.1,4,4.075,18,10,55.55555556
 ACF2100_CAULFIELD_ON-CAMPUS_ON_S1-01 , ACF2100_CAULFIELD_ON-CAMPUS_ON_S1-01 ,ACF2100,ACF,2,S1,4.26,4.28,4.31,4.06,4.05,4.13,4.26,4.05,4.175,232,86,37.06896552
 ACF2100_CITY_ON-CAMPUS_ON_TRI-A-29 , ACF2100_CITY_ON-CAMPUS_ON_TRI-A-29 ,ACF2100,ACF,2,S1,4,4,4,4,4,4,4,4,4,10,3,30
 ACF2200_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , ACF2200_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,ACF2200,ACF,2,S1,4.36,4.64,4.64,4.45,4.55,4.55,4.55,4.45,4.52375,23,11,47.82608696
 ACF2200_CAULFIELD_ON-CAMPUS_ON_S1-01 , ACF2200_CAULFIELD_ON-CAMPUS_ON_S1-01 ,ACF2200,ACF,2,S1,4,3.99,3.94,3.69,3.85,3.88,4.01,3.88,3.905,245,118,48.16326531
 ACF2200_CITY_ON-CAMPUS_ON_TRI-A-29 , ACF2200_CITY_ON-CAMPUS_ON_TRI-A-29 ,ACF2200,ACF,2,S1,3,2.75,3,2.5,3,3,3.25,3,2.9375,12,4,33.33333333
 ACF2400_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , ACF2400_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,ACF2400,ACF,2,S1,4.25,4.33,4.42,4.36,4.25,4.25,4.33,4.25,4.305,28,12,42.85714286
 ACF2400_CAULFIELD_ON-CAMPUS_ON_S1-01 , ACF2400_CAULFIELD_ON-CAMPUS_ON_S1-01 ,ACF2400,ACF,2,S1,3.89,3.86,4.03,3.77,3.93,3.93,3.97,3.87,3.90625,206,70,33.98058252
 ACF2400_CITY_ON-CAMPUS_ON_TRI-A-29 , ACF2400_CITY_ON-CAMPUS_ON_TRI-A-29 ,ACF2400,ACF,2,S1,3.45,3.73,3.5,3.64,3.73,3.45,3.91,3.64,3.63125,34,11,32.35294118
 ACF3100_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , ACF3100_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,ACF3100,ACF,3,S1,4.17,4.22,4.22,4.11,4.33,4.11,4.17,4.28,4.20125,42,18,42.85714286
 ACF3100_CAULFIELD_ON-CAMPUS_ON_S1-01 , ACF3100_CAULFIELD_ON-CAMPUS_ON_S1-01 ,ACF3100,ACF,3,S1,4.25,4.13,4.21,4.04,4.31,4.17,4.31,4.13,4.19375,183,48,26.2295082
 ACF3100_CITY_ON-CAMPUS_ON_TRI-A-29 , ACF3100_CITY_ON-CAMPUS_ON_TRI-A-29 ,ACF3100,ACF,3,S1,3.75,4,3.75,3.75,4,3.75,3.25,3.75,3.75,12,4,33.33333333
 ACF3200_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , ACF3200_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,ACF3200,ACF,3,S1,4.22,4.22,4.19,4.15,4.26,4.26,4.37,4.11,4.2225,58,27,46.55172414
 ACF3200_CAULFIELD_ON-CAMPUS_ON_S1-01 , ACF3200_CAULFIELD_ON-CAMPUS_ON_S1-01 ,ACF3200,ACF,3,S1,3.97,3.77,3.77,3.58,3.91,3.86,4.21,3.82,3.86125,190,71,37.36842105
 ACF3600_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , ACF3600_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,ACF3600,ACF,3,S1,4.53,4.47,4.67,4.33,4.6,4.4,4.27,4.47,4.4675,37,15,40.54054054
 ACF3600_CAULFIELD_ON-CAMPUS_ON_S1-01 , ACF3600_CAULFIELD_ON-CAMPUS_ON_S1-01 ,ACF3600,ACF,3,S1,4.22,4.12,4.26,4.06,4.16,4.08,3.98,4.1,4.1225,157,50,31.84713376
 ACF3900_CAULFIELD_ON-CAMPUS_ON_S1-01 , ACF3900_CAULFIELD_ON-CAMPUS_ON_S1-01 ,ACF3900,ACF,3,S1,3.87,3.6,3.93,3.5,3.93,3.73,4.2,3.6,3.795,66,15,22.72727273
 ACF5000_CAULFIELD_EVENING_ON_S1-01 , ACF5000_CAULFIELD_EVENING_ON_S1-01 ,ACF5000,ACF,5,S1,4.1,4,4.44,4.3,4.2,4.2,4.5,4.1,4.23,13,10,76.92307692
 ACF5000_CAULFIELD_ON-CAMPUS_ON_S1-01 , ACF5000_CAULFIELD_ON-CAMPUS_ON_S1-01 ,ACF5000,ACF,5,S1,3.85,3.94,3.85,3.9,3.87,3.82,4.06,3.78,3.88375,258,175,67.82945736
 ACF5080_CAULFIELD_ON-CAMPUS_ON_S1-01 , ACF5080_CAULFIELD_ON-CAMPUS_ON_S1-01 ,ACF5080,ACF,5,S1,4.5,4.4,4.37,4.4,4.33,4.5,4.47,4.53,4.4375,51,30,58.82352941
 ACF5080_CAULFIELD_ON-CAMPUS_ON_T2-57 , ACF5080_CAULFIELD_ON-CAMPUS_ON_T2-57 ,ACF5080,ACF,5,S1,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,7,3,42.85714286
 ACF5100_CAULFIELD_EVENING_ON_S1-01 , ACF5100_CAULFIELD_EVENING_ON_S1-01 ,ACF5100,ACF,5,S1,4.71,4.71,4.71,4.71,4.71,4.71,4.86,4.57,4.71125,12,7,58.33333333
 ACF5100_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , ACF5100_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,ACF5100,ACF,5,S1,4.31,4.25,4.33,4.43,4.44,4.36,4.31,4.31,4.3425,40,36,90
 ACF5100_CAULFIELD_ON-CAMPUS_ON_S1-01 , ACF5100_CAULFIELD_ON-CAMPUS_ON_S1-01 ,ACF5100,ACF,5,S1,4.18,4.22,4.22,4.19,4.26,4.21,4.34,4.25,4.23375,139,88,63.30935252
 ACF5120_CAULFIELD_ON-CAMPUS_ON_S1-01 , ACF5120_CAULFIELD_ON-CAMPUS_ON_S1-01 ,ACF5120,ACF,5,S1,4.26,4.39,4.26,4.1,4.16,4.16,4.19,4.23,4.21875,43,31,72.09302326
 ACF5120_CAULFIELD_ON-CAMPUS_ON_T2-57 , ACF5120_CAULFIELD_ON-CAMPUS_ON_T2-57 ,ACF5120,ACF,5,S1,3.89,3.67,4,3.78,4,3.89,4.11,3.78,3.89,10,9,90
 ACF5130_CAULFIELD_ON-CAMPUS_ON_S1-01 , ACF5130_CAULFIELD_ON-CAMPUS_ON_S1-01 ,ACF5130,ACF,5,S1,4.13,3.96,4.06,3.89,3.9,4.1,4.15,3.93,4.015,140,71,50.71428571
 ACF5130_CAULFIELD_ON-CAMPUS_ON_T2-57 , ACF5130_CAULFIELD_ON-CAMPUS_ON_T2-57 ,ACF5130,ACF,5,S1,4,4,4,4,4,4,3.86,4,3.9825,20,7,35
 ACF5150_CAULFIELD_EVENING_ON_S1-01 , ACF5150_CAULFIELD_EVENING_ON_S1-01 ,ACF5150,ACF,5,S1,4.75,4.5,4.75,4.75,4.5,4.5,4.75,4.75,4.65625,4,4,100
